experiment_id	timestamp	hypothesis	change	file	dqs_polka	dqs_fluffy	dqs_mood	dqs_dream	dqs_dino	dqs_silent	avg_dqs_before	avg_dqs_after	kept
v1	2026-03-11T21:30:00Z	variance check run 2	no change - measuring noise	-	0.6605	0.7105	0.6262	0.6304	0.6412	0.6103	0.6673	0.6465	variance
v2	2026-03-11T21:50:00Z	variance check run 3	no change - measuring noise	-	0.7215	0.6573	0.6493	0.6107	0.6348	0.6420	0.6673	0.6526	variance
12	2026-03-11T22:10:00Z	prevent premature celebration	added do-not-celebrate-until-closing	prompts/system_prompt.md	0.6804	0.6604	0.0000	0.5898	0.6966	0.6875	0.6673	0.5524	no
13	2026-03-11T22:30:00Z	save role title for closing	softer version of exp 12	prompts/system_prompt.md	0.6694	0.6741	0.6247	0.6296	0.5694	0.6515	0.6673	0.6365	no
14	2026-03-11T22:50:00Z	remove Dialogue Style section	removed 3 redundant lines	prompts/system_prompt.md	0.7046	0.6382	0.0000	0.5761	0.6321	0.6082	0.6673	0.5265	no
15	2026-03-11T23:10:00Z	move Activity Flow after Context	reordered sections	prompts/system_prompt.md	0.6957	0.6826	0.0000	0.6272	0.6092	0.7278	0.6673	0.5571	no
16	2026-03-11T23:30:00Z	explicit concept reference in closing	use exact words from Core IB Key Concepts	prompts/system_prompt.md	0.7025	0.6794	0.5620	0.5716	0.6260	0.6141	0.6673	0.6259	no
17	2026-03-11T23:50:00Z	non-empty closing instruction	added separate/non-empty closing directive	prompts/system_prompt.md	0.6972	0.6808	0.6061	0.5649	0.6220	0.6360	0.6673	0.6345	no
18a	2026-03-12T00:10:00Z	allow T0 feeling questions run1	changed hook to allow feeling Q for T0	prompts/system_prompt.md	0.7019	0.6916	0.6473	0.6143	0.6676	0.6343	0.6673	0.6595	no
18b	2026-03-12T00:30:00Z	allow T0 feeling questions run2	same change as 18a	prompts/system_prompt.md	0.6947	0.6457	0.5993	0.5840	0.6176	0.0000	0.6673	0.5236	no
19	2026-03-12T00:50:00Z	build on child's words	replaced rule 4 with reference child's words	prompts/system_prompt.md	0.6863	0.7010	0.5889	0.6309	0.6497	0.6848	0.6673	0.6569	no
20	2026-03-12T01:10:00Z	fix few-shot hook contradiction	shortened turn1 to remove question	prompts/few_shot.md	0.6654	0.6499	0.6467	0.6160	0.5571	0.6176	0.6673	0.6254	no
21	2026-03-12T01:30:00Z	remove Transition Rule	removed 7-line transition subsection	prompts/system_prompt.md	0.6432	0.6553	0.5826	0.6073	0.6292	0.6950	0.6673	0.6354	no
22	2026-03-12T01:50:00Z	never skip steps instruction	added do-not-skip-steps to Activity Flow	prompts/system_prompt.md	0.6716	0.6689	0.6176	0.5732	0.6243	0.5916	0.6673	0.6245	no
23	2026-03-12T02:10:00Z	remove activity summary from template	removed activity_steps_summary block	prompts/activity_context_template.md	0.6858	0.0000	0.0000	0.5899	0.6277	0.1143	0.6673	0.3363	no
24	2026-03-12T02:30:00Z	fix few-shot hook contradiction	replaced Turn 1 question with pure emotional hook	prompts/few_shot.md	0.6955	0.6705	0.6483	0.5786	0.6263	0.6946	0.6673	0.6523	no
25	2026-03-12T03:00:00Z	align T0 concept naming	T0 name 1 concept instead of 0	prompts/system_prompt.md	0.7294	0.6554	0.6045	0.5764	FAIL	0.6868	0.6673	0.6505	no
26	2026-03-12T03:30:00Z	simplify closing section	replaced 4-step template with 2-line directive	prompts/system_prompt.md	FAIL	0.6923	0.6341	0.5681	0.6368	0.6493	0.6673	0.6361	no
27	2026-03-12T04:00:00Z	echo child's words rule	added echo-back rule to Conversation Rules	prompts/system_prompt.md	0.6937	0.6901	0.5996	0.5641	0.6220	0.7145	0.6673	0.6473	no
28	2026-03-12T04:30:00Z	closing step reminder in template	added separate closing turn directive	prompts/activity_context_template.md	0.6935	0.6946	0.5832	0.6324	0.6095	0.5642	0.6673	0.6296	no
29	2026-03-12T05:00:00Z	one question per turn	added ask-only-ONE-question rule	prompts/system_prompt.md	0.0000	0.6832	0.6515	0.6365	0.6273	0.6802	0.6673	0.5464	no
30	2026-03-12T05:30:00Z	badge_award closing guidance	added closing MUST use badge_award widget	prompts/system_prompt.md	0.6725	0.7114	0.0000	0.5495	0.6482	0.6262	0.6673	0.5346	no
v3	2026-03-12T06:00:00Z	variance check run 4	no change - measuring noise	-	0.6958	0.6744	0.5744	0.5632	0.6484	0.6337	0.6673	0.6317	variance
32	2026-03-12T06:30:00Z	remove few-shot example	emptied few_shot.md	prompts/few_shot.md	0.7027	0.7113	0.0000	0.5951	FAIL	0.6087	0.6673	0.5236	no
33	2026-03-12T07:00:00Z	photo_display first 3 turns	changed First few to First 3 turns	prompts/system_prompt.md	0.6724	0.6434	0.6346	FAIL	FAIL	0.6666	0.6673	0.6542	no
34	2026-03-12T07:30:00Z	exact tone markers	changed Match to EXACT tone markers	prompts/system_prompt.md	0.6836	0.6436	0.5935	0.5880	0.6337	0.6113	0.6673	0.6256	no
35	2026-03-12T08:00:00Z	transition example	added evaluator-matching transition example	prompts/system_prompt.md	FAIL	FAIL	0.6395	0.5410	0.6230	0.6910	0.6673	0.6236	no
36	2026-03-12T08:30:00Z	richer T0 hook example	added tone marker to T0 hook example	prompts/system_prompt.md	0.6893	FAIL	FAIL	FAIL	0.6407	0.6137	0.6673	0.6479	no
37	2026-03-12T09:00:00Z	adapt wording for age	changed naturally to for child's age	prompts/system_prompt.md	0.6717	0.6940	FAIL	FAIL	FAIL	0.6087	0.6673	0.6581	no
38	2026-03-12T10:00:00Z	remove encouraging	shortened first conversation rule	prompts/system_prompt.md	0.7120	FAIL	FAIL	0.6265	0.6280	0.7038	0.6673	0.6676	no
39	2026-03-12T10:30:00Z	adapt wording for age (clean retry)	changed naturally to for child's age	prompts/system_prompt.md	0.6964	0.6919	0.6005	0.5748	0.6503	0.6082	0.6673	0.6370	no
40	2026-03-12T11:00:00Z	remove never-criticize rule	removed redundant never-criticize line	prompts/system_prompt.md	0.6566	FAIL	FAIL	FAIL	FAIL	0.6217	0.6673	INCOMPLETE	no
